1,0,3,-1,-1,-1,-1,-1,-1,1304.097771874
2,0,1,-1,-1,-1,-1,-1,-1,95.7893030289589
3,0,3,-1,-1,-1,-1,-1,-1,1000.78349729096
4,0,3,-1,-1,-1,-1,-1,-1,1458.77627758063
5,0,1,-1,-1,-1,-1,-1,-1,109.6523203402
10000,1,1,2,1,95.627490595153,1,1,145.034514577874,47.1535052130872
10001,1,1,1,3,1303.61335471504,3,3,0.802325941686288,14.3808989540392
10002,1,2,1,1,1303.41698422223,3,1,0.181794858262013,13.9545276932536
10003,1,3,3,1,1000.21263640008,4,1,0.807098691453369,18.5583060361195
10004,1,1,4,1,1185.01544075689,5,1,0.675326464186682,90.1365788328229
